OPERATION_ID,OPERATION_NAME,CITY,place_id,google_rating,review_text,review_rating,match_confidence
1124172,"Child, Inc. American Youth Works",AUSTIN,ChIJ--Sbfoa0RIYRMsKN2gq4dhI,4.6,"this place has completely fallen to pieces.

i came here and got my ged, as well as taking the healthcare trade with mr. issac, who was by far the only teacher that seemed to genuinely care about students here. besides that, there were many incidents where racist teachers were treating mexican kids differently than the white kids, which is ASTONISHING in a state like texas. one specific teacher had made inappropriate comments regarding her husband to other students, and another one was using the company card (that was supposed to be for supplying students with monthly pay) to buy her own groceries for home.
the things that i found out after my graduation about this place baffled me, and now they're left with no one to cook food, new students never getting a call back, and a kitchen infested with rats. there is no money being supplied to students anymore and nobody is being informed of the recent changes.

do not let their website fool you and do NOT send your kids to this school.",1,medium_confidence
1124172,"Child, Inc. American Youth Works",AUSTIN,ChIJ--Sbfoa0RIYRMsKN2gq4dhI,4.6,Mrs Reeves was awesome she helped my son with his enrollment and was very helpful with me as well !!!,5,medium_confidence
1124172,"Child, Inc. American Youth Works",AUSTIN,ChIJ--Sbfoa0RIYRMsKN2gq4dhI,4.6,"The worst alternative school in central Texas. When I went i was taunted when I decided to leave to get my GED with lifeworks (which is the only place I recommend going for GED). MS. KASAPI in the most sarcastic, taunting tone yelled these exact words ""GOOD LUCK WITH YOUR GED"" in the middle of the hallway. Well I did get that GED not even 2 weeks after leaving this school. Sad that Pride high school in Lockhart got shut down but places like this seem to get away with treating grown people just trying to do right like they're little imbeciles at the schools or should I say Ms. Kasapi's mercy. I certainly hope she's not still running this school & if she is, she shouldn't be. Really sucked because I was literally only needing one elective in speech & government & economics class to graduate.. I had passed all my STAR exams as I had even passed the last one for a class I hadn't even taken yet (G&E) & all I wanted was to see if putting me on the minimum plan (required less credits to graduate) was possible because I would turn 21 in a couple of months & wouldn't be able to continue school there. I was told I wanted special treatment & blown off. There was an extremely childish, unprofessional encounter with a teacher aide or whatever she was that sent me over the edge on deciding to leave this unempathetic school run by big kids who would rather be on their phone & engage in inappropriate/child like behavior with students. A high-school diploma is great but this place was horrible for my mental health. I'd go with Garza high school or lifeworks for your kids or self!",1,medium_confidence
1124172,"Child, Inc. American Youth Works",AUSTIN,ChIJ--Sbfoa0RIYRMsKN2gq4dhI,4.6,"My son came in almost 2 years behind in school. Youthbuild has been AMAZING about meeting him where he is/was, not just academically, but mentally and emotionally as well! He has grown so much in all aspects of his life and we are eternally grateful for YB and all the staff and everyone that makes YB possible! 🙏",5,medium_confidence
1124172,"Child, Inc. American Youth Works",AUSTIN,ChIJ--Sbfoa0RIYRMsKN2gq4dhI,4.6,"I wasted my time trying to put my son in this school.. I waited 2 weeks to see if anyone would call me to see if he got approved to go.. I didn't get a call so, I called them.. A lady told me he didn't get approved because of his behavior.. Really!!!!! So y'all going off my son past? He hasn't had a behavior problem since he was in the 8th grade.. This is why kids act out because people like y'all who holds things against them.  Y'all don't give kids a chance, just tell them no.. I'm not even mad about yall evil ways I'll just pray about it.. This is a school my son really wanted to go to.. I had to give my son the bad news about him not getting approved ..Yea he was sad but, I told him don't worry it's something better for u..",1,medium_confidence
1509739,"Tiny Scholars Academy, LLC",HOUSTON,ChIJ--dcWCTLQIYR3JXHfeHHOwc,4.7,"Tiny Scholars Academy has truly been a blessing for our family! We’re so grateful to have found a child care center that not only met our needs but went above and beyond. When my son had a cast on his arm, they were one of the few places willing to accept him—and even after his cast came off, they continued to support and work with him with such care and patience.

My son feels safe, comfortable, and happy with the entire team, and we’re already seeing the positive results of their school readiness curriculum. The staff’s genuine love for children and their dedication to helping them grow and learn shows every single day.

I highly recommend Tiny Scholars Academy to any parent looking for a preschool where your child will be safe, cared for, and excited to learn. 10/10 experience!",5,high_confidence
1509739,"Tiny Scholars Academy, LLC",HOUSTON,ChIJ--dcWCTLQIYR3JXHfeHHOwc,4.7,"This review is long overdue! This daycare is an answered prayer. While driving to work, I noticed the sign on the side of the road, called, spoke with Mrs. Latoya, the owner, and went by on my lunch to do the tour! I was stunned by how clean and professional the daycare is.

We have a 2- and 3-year-old who attended from October until December 2025, when I was laid off and had to remove them from the daycare. I absolutely love this place, and so do our girls! They would get excited every time I pulled into the parking lot.

Ms. Nae was the absolute best with our 3-year-old, who can now count to 10 in English and Spanish! Ms. Nae is very smart and nurturing. Our 2-year-old went from being very shy to the life of any room, thanks to Ms. Tasha.

The staff here genuinely care about the children and their growth. Let me also add how the meals were never frozen, microwave dishes! Food was cooked on-site, and it was fresh, hot meals for our girls!

Ms. Toya is an absolute JEWEL and heaven-sent. Let me also add how much they love Ms. Met (Nanna) and always talked about her at home!

I am purposing to keep the structure they had at the daycare with my girls at home and can’t wait to get back to work so my girls can attend this daycare again! This is the place to be!!",5,high_confidence
1509739,"Tiny Scholars Academy, LLC",HOUSTON,ChIJ--dcWCTLQIYR3JXHfeHHOwc,4.7,"I can’t say enough good things about this daycare! My son has been attending for about three months now, and it’s his very first time in daycare. From day one, the staff has gone above and beyond to make both of us feel comfortable and supported. They treat him with so much love and care—it truly feels like he’s at home when he’s there.

The team is very organized, professional, and attentive to every child’s needs. I really appreciate how they take the time to teach, engage, and nurture each child, not just watch over them. My son is learning so much every week—songs, colors, numbers, and even sharing and kindness. I’ve noticed how much more confident and happy he’s become since starting here.

As a parent, it gives me so much peace of mind knowing he’s in such great hands. I 100% recommend this daycare to any family looking for a safe, loving, and educational environment. They truly treat your child like one of their own.",5,high_confidence
1509739,"Tiny Scholars Academy, LLC",HOUSTON,ChIJ--dcWCTLQIYR3JXHfeHHOwc,4.7,Omg!! I wish I could give a million stars! I highly recommend this daycare facility especially as a first time mom Mrs.Latoya has been so kind and supportive with everything. Soon as you walk in the atmosphere is warm and welcoming the staff are gentle and foster in a welcoming atmosphere and experience. I think I called 100x and each time they were extremely polite and you can tell they love what they do!! One of the best decisions I made this year was enrolling my child at Tiny Scholars Academy!!,5,high_confidence
1509739,"Tiny Scholars Academy, LLC",HOUSTON,ChIJ--dcWCTLQIYR3JXHfeHHOwc,4.7,"This Daycare has exceeded all of my expectations. The facility is exceptionally clean, will organized and structured more like a school than a traditional daycare. The curriculum is thoughtfully designed to support early learning and development, effectively preparing children for kindergarten and beyond. My daughter has learned  and grown tremendously in a short period of time and it’s clear the staff is dedicated to providing a nurturing and educational environment. I highly recommend this daycare to any parent seeking quality early childhood education.",5,high_confidence
