place_id,DEFICIENCY_HIGH,DEFICIENCY_MEDIUM_HIGH,DEFICIENCY_MEDIUM,DEFICIENCY_MEDIUM_LOW,DEFICIENCY_LOW,TOTAL_INSPECTIONS,TOTAL_ASSESSMENTS,TOTAL_CAPACITY,ISSUANCE_DATE,PROGRAMS_PROVIDED,ACCEPTS_CHILD_CARE_SUBSIDIES,CORRECTIVE_ACTION,ADVERSE_ACTION,TEMPORARILY_CLOSED,OPERATION_ID,OPERATION_NAME,CITY,ADDRESS_LINE,ZIPCODE,google_name,google_rating,google_review_count,review_count_returned,match_confidence,YEARS_IN_OPERATION,IS_ACCREDITED,ACCEPTS_SUBSIDIES,HAS_CORRECTIVE_ACTION,HAS_ADVERSE_ACTION,WAS_TEMP_CLOSED,TOTAL_DEFICIENCIES,DEFICIENCY_RATE,HIGH_DEFICIENCY_RATE
ChIJ09VBRgqcQIYRKFN-FOOpP1c,1,5,2,0,0,12,0,119,1990-02-09,"School Age Care,Before School Care,Accredited,Meals Provided ,After School Care,Snacks Provided,Skill Classes,Part Time Care,Transportation to/from School",Y,NO,NO,NO,108046,Clear Lake KinderCare,HOUSTON,14777 EL CAMINO REAL,77062 2176,Clear Lake KinderCare,4.7,44.0,5,high_confidence,35.9,1,1,0,0,0,8,0.667,0.083
ChIJ09d7s8FgXIYROZjxG6d9N1w,5,29,5,1,0,43,3,147,2020-02-14,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care,Transportation to/from School ,Field Trips",Y,NO,NO,NO,1335150,The Kid's Garden Learning Center,SAN ANTONIO,10918 WURZBACH RD STE 100,78230 2578,The Kids Garden Learning Center I,4.0,8.0,5,high_confidence,5.9,0,1,0,0,0,40,0.93,0.116
ChIJ0Q6s6iRyToYR9mmWUPAyX0s,0,1,0,0,0,9,0,185,1987-06-04,Part Time Care,N,NO,NO,NO,94445,University Christian Weekday School,FORT WORTH,2720 S UNIVERSITY DR,76109 1150,Weekday School,,,0,medium_confidence,38.6,0,0,0,0,0,1,0.111,0.0
ChIJ0QOnXmjeQIYRniFbU2HlzeI,2,10,3,0,0,5,0,92,2011-02-11,"After School Care,Part Time Care,Transportation to/from School ,Field Trips",Y,NO,NO,NO,732788,"The Station of Imagination Child Care, LLC",HOUSTON,7030 ADDICKS CLODINE RD STE 109,77083 2346,Station of Imagination Child Care LLC,4.5,8.0,5,high_confidence,14.9,0,1,0,0,0,15,3.0,0.4
ChIJ0RC0gT-5QIYR5JVqIhw738E,5,3,6,1,1,9,0,50,2001-09-27,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Transportation to/from School ,Field Trips",Y,NO,NO,NO,192215,Humble Beginners,HOUSTON,3713 SAYERS ST,77026 4735,Humble Beginners Daycare,3.9,7.0,5,high_confidence,24.3,0,1,0,0,0,16,1.778,0.556
ChIJ0RGTPPxhXIYRvsmdcMCMWZ4,0,1,1,0,0,3,0,16,2025-09-03,"Meals Provided ,Snacks Provided",N,NO,NO,NO,1513122,Immersion Montessori Academy,SAN ANTONIO,11102 WEST AVE,78213 1337,Immersion Montessori Academy,4.9,43.0,5,high_confidence,0.3,0,0,0,0,0,2,0.667,0.0
ChIJ0RwI811nXIYRprPqY9GiyFc,13,13,6,1,0,37,0,141,2014-02-21,"School Age Care,Meals Provided ,Snacks Provided,Drop-In Care,Skill Classes,Part Time Care,Transportation to/from School ,Field Trips",Y,NO,NO,NO,1117995,Sunshine Montessori Academy,SAN ANTONIO,5520 ECKHERT RD,78240 3906,Sunshine Montessori Academy,,,0,high_confidence,11.9,0,1,0,0,0,33,0.892,0.351
ChIJ0S07ueDCQIYRmo1ivIdXL-M,7,18,12,0,2,11,1,62,2024-10-31,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Part Time Care,Transportation to/from School",Y,NO,NO,NO,1471687,Kids Klub Learning Center,HOUSTON,5950 S GESSNER RD STE J,77036 2675,Kids Klub Learning Center - Daycare/Afterschool,4.1,26.0,5,medium_confidence,1.2,0,1,0,0,0,39,3.545,0.636
ChIJ0VItzskyW4YRoqZ1I4oZml4,0,0,0,0,0,4,0,108,2025-09-24,"Meals Provided ,Snacks Provided,Drop-In Care,Part Time Care",N,NO,NO,NO,1515101,Stepping Stone School IV,AUSTIN,9914 WOODLAND VILLAGE DR,78750 2220,Stepping Stone School - Northwest Austin,4.7,44.0,5,medium_confidence,0.3,0,0,0,0,0,0,0.0,0.0
ChIJ0ZZiH0_6XIYRic7-1BjLM1s,1,7,8,0,0,12,0,140,1994-09-23,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care",N,NO,NO,NO,137482,Playtime Daycare,SAN ANTONIO,11470 S FOSTER RD,78223 4431,Play time Day Care,4.4,28.0,5,medium_confidence,31.3,0,0,0,0,0,16,1.333,0.083
ChIJ0ZcMMdfdQIYRKq_sqQDj2Xw,1,0,0,0,0,9,0,105,2011-06-28,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Part Time Care,Transportation to/from School ,Field Trips",Y,NO,NO,NO,793917,Little Stars Child Care,HOUSTON,14434 BELLAIRE BLVD,77083 7520,Little Stars Child Care,4.5,33.0,5,high_confidence,14.5,0,1,0,0,0,1,0.111,0.111
ChIJ0ZhCpegfTIYRvXHpc9naiyI,2,5,5,0,0,18,2,87,2019-05-24,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Skill Classes,Transportation to/from School ,Field Trips",Y,NO,NO,NO,1321695,Little Einsteins Learning Center LLC,DALLAS,9205 SKILLMAN ST STE 117,75243 7324,Little Einsteins Learning Center- Dallas,4.3,46.0,5,high_confidence,6.6,0,1,0,0,0,12,0.667,0.111
ChIJ0_6qPufHQIYRFWC3veKi3RM,0,3,1,0,0,6,0,176,2025-08-26,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Transportation to/from School ,Field Trips",N,NO,NO,NO,1497236,The Learning Experience-Houston Oak Forest,HOUSTON,2111 W 34TH ST,77018 6002,The Learning Experience - Houston- Oak Forest,,,0,medium_confidence,0.4,0,0,0,0,0,4,0.667,0.0
ChIJ0_onBgC5QIYRDEaKwYDB9T4,0,0,0,0,0,1,0,256,2026-03-24,"Meals Provided ,Snacks Provided,Drop-In Care,Part Time Care",N,NO,NO,NO,1525834,The Learning Experience- Houston Heights,HOUSTON,1915 AIRLINE DR,77009 2544,The Learning Experience - Houston Heights,5.0,1.0,1,high_confidence,0.0,0,0,0,0,0,0,0.0,0.0
ChIJ0atuKE2LXIYR3nsflRU_tlo,5,8,5,0,1,14,0,95,2017-12-07,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Drop-In Care,Skill Classes,Part Time Care",Y,NO,NO,NO,1280128,Beaming Bright Learning Center,SAN ANTONIO,4222 SUNSHADOW ST,78217 4324,Beaming Bright Learning Center,4.8,69.0,5,high_confidence,8.1,0,1,0,0,0,19,1.357,0.357
ChIJ0azhpR_XQIYRAeW1UdYzEFE,0,2,0,0,0,7,0,133,1997-04-15,"After School Care,Part Time Care",Y,NO,NO,NO,148218,Montessori Preschool at Copperfield,HOUSTON,8007 QUEENSTON BLVD,77095 4730,Montessori Preschool at Copperfield,4.6,30.0,5,high_confidence,28.7,0,1,0,0,0,2,0.286,0.0
ChIJ0bRoeYhLW4YR1VA2Hk14QSc,2,3,3,0,0,6,1,23,2018-09-04,,N,NO,NO,NO,1313157,Cadets Childcare Inc DBA Clubhouse Cadets @ Boone Elementary,AUSTIN,8101 CROFTWOOD DR,78749 3255,Clubhouse Cadets at Boone,,,0,medium_confidence,7.3,0,0,0,0,0,8,1.333,0.333
ChIJ0bwzwT-kQIYRxKpOx-JlMIw,11,1,3,0,0,18,1,207,2009-07-20,"School Age Care,Before School Care,Meals Provided ,After School Care,Snacks Provided,Part Time Care,Transportation to/from School ,Field Trips",Y,NO,NO,NO,356740,Silver Star Academy,HOUSTON,5610 E SAM HOUSTON PKWY N,77015 3249,Silver Star Academy,4.2,51.0,5,high_confidence,16.5,0,1,0,0,0,15,0.833,0.611
ChIJ0dba7z6VQIYRSoe6T3uJ6lE,0,0,0,0,0,4,0,60,2025-11-04,"School Age Care,Meals Provided ,Snacks Provided",N,NO,NO,NO,1512547,Reynolds Head Start,HOUSTON,9601 ROSEHAVEN DR,77051 3132,Reynolds Elementary School,,,0,medium_confidence,0.2,0,0,0,0,0,0,0.0,0.0
ChIJ0e2Z_njSRIYReYhOHgh9yhI,6,5,4,0,0,23,0,203,2016-09-12,"School Age Care,Meals Provided ,After School Care,Snacks Provided,Part Time Care,Transportation to/from School ,Field Trips",Y,NO,NO,NO,1239589,The Learning Experience,AUSTIN,15542 RANCH ROAD 620 N,78717 5206,The Learning Experience - Brushy Creek,4.6,52.0,5,medium_confidence,9.3,0,1,0,0,0,15,0.652,0.261
